data,language
"पशान अभियान आ गथ', लाइमोन आरो गोरबोआव थानाय आइजोफोरनि आदारारि मुलाम्फाखौ जौगानायाव हेफाजाब होग्रा भार'तनि गोनांथार हाबाफारि।",brx
पशान ट्रैकार खौ दिहुननायनि बिथांखिया मा?,brx
"(पोषन) संदानग्रा बाहायथिनि थांखिया जाबाय अंगनवादी मिरुनि (ए.दाब्लिउ.सि.) मावफारिफोरखौ 360 दिग्रियै नायहोनाय, अंगनवादी मावफारियाफोरनि सिबिथाइ सहैहोनाय (ए.दाब्लिउ.दाब्लिउ) आरो गोर्बोआव गथ’ थानाय आइजोफोरनि थाखाय मुलामफा मोननायखौ आबुङै सामलायनाय, बिमा आरो फिसानि थावनिखौ नायदिंनाय। थांखिनाय खान्थिया थि-समखौ नायनाय आरो गासै ए.दाब्लिउ.दाब्लिउ आरो मुलामफा मोनग्राफोरनि सायाव होखानाय दिन्थिग्राफोरखौ संदाननाय।",brx
पशान ट्रैकार एपखौ माबोरै डाउनलद खालामनो हायो?,brx
पशान ट्रैकार एपखौ गगल प्लेस्तरआव मोननो हाथावना ,brx
https://play.google.com/store/apps/details?id=com.poshantracker,brx
आपोल आइ स्तरआवबो पशान ट्रैकार एपखौ मोननो हाथावनाने?,brx
"नङा, पशान ट्रैकारआ एनद्रवयद भारसनावल' मोननो हाथाव।",brx
पशान ट्रैकार एपखौ मबाइलाव बोनो सरासनस्रा गोनांथिया मा?,brx
पशान ट्रैकारखौ एनद्रवयद फोनाव एनद्रवयद 6.0 आरो गेदेर भारसनफोजोंल' गायसंनो हायो।,brx
गासैबो गले-गलेयै सोंजानाय सोंथिफोरखौ नाय,brx
एप्लिकेसन बाहायनानै मुलाम्फायारिआ थोंजोङै रेबथुमनो हायोना।,brx
दासान्दि सासे मुलाम्फायारिआ सासे एडब्लिउडब्लिउनि मददजों रेबथुमनो हायो,brx
सोर सासेआ मुलाम्फायारि?,brx
बेवहाय मुलाम्फायारिनि थाखाय मोन 6 थाखोफोर दं,brx
गोरबोआव थानाय आइजोफोर,brx
आहार जाहोग्रा बिमा,brx
0 निफ्राय 6 दाननि खुदियाफोर,brx
6 दाननिफ्राय 3 बोसोरनि खुदियाफोर,brx
3 बोसोरनिफ्राय 6 बोसोरनि खुदियाफोर,brx
देरफुनाय हिनजावसाफोर,brx
सासे मुलाम्फायारिआ बिनि/ बिनि एडब्लिउसिखौ सोलायनो हायोना?,brx
सासे एडब्लिउडब्लिउआ सासे मुलाम्फायारिखौ बिसोरनि आधार कार्डनि बिथायाव मोनसे एडब्लिउसिनिफ्राय गुबुन मोनसे एडब्लिउसिसिम बारस्लायनो 'बारस्लाय मुलाम्फायारि' सायख'नायखौ बाहायनो हायो।,brx
सासे मुलाम्फायारिनि जग्यताया मा?,brx
सासे मुलाम्फायारिआ दानसेआव खमैबो 21 साननि थाखाय टिएइचआरनि थाखाय जग्यता गोनां जायो।,brx
न'नि रेसन लानि थाखाय सोर जग्यतागोनां?,brx
"गोरबोआव थानाय आइजोफोर, आहार जाहोग्रा बिमाफोर, 6 दाननिफ्राय 3 बोसोरनि खुदियाफोर आरो देरफुनाय हिनजावसाफोर।",brx
न'नि रेसन लानायनि बागै आं बबेयाव सोंनानै मिथिनो हागोन?,brx
अननानै नोंथांनि गावनि अंगनवारि मावफारियाखौ सोमोन्दो खालाम।,brx
सोर उफ्रा होफादेरनाय जाग्रा मुवानि थाखाय जग्यतागोनां।,brx
जाय गथ'फोरखौ निउट्रिसनाव खम होननानै सिनायथिनाय जादों बिसोर उफ्रा जाग्रा मुवा होफादेरनायफोरनि थाखाय जग्यता गोनां।,brx
सासे मुलाम्फायारिआ दानसेआव खमैबो 21 साननि थाखाय एइचसिएमनि थाखाय जग्यता गोनां।,brx
सोर गुदुं संजानाय आदारनि थाखाय जग्यता गोनां?,brx
3 बोसोरनिफ्राय 6 बोसोर बैसोनि हानजानि गथ'फोर,brx
गुदुं संजानाय आदारनि बागै आं बबेयाव सोंनानै मिथिनो हागोन?,brx
अननानै नोंथांनि गावनि अंगनवारि मिरुआव सोमोन्दो खालाम।,brx
सोर उफ्रा होफादेरनाय जाग्रा मुवानि थाखाय जग्यतागोनां?,brx
जोंखौ भिदिअ कनफारेन्साव मोननो हासिगोन,brx
रायजो भिडिअ जथुममा,brx
समबारनिफ्राय सुक्रबारसिम ,brx
4:15 PM to 5:15 PM,brx
दानो खाजाब,brx
अंगनवाडी मावथि फोरोंथाइ,brx
3:00 PM to 4:00 PM,brx
हेफाजाब,brx
 14408,brx
 support-poshantrackr@gov.in,brx
मबाइल एप डाउनलोड खालाम,brx
Powered By,brx
सिबिथायनि बोसोनफोर,brx
प्राइभेसि पलिसि,brx
जिउ खुंनाय राहाफोर,brx
Copyright@2023  Poshan Tracker. All rights reserved,brx
 You need to enable JavaScript to run this app.,brx
पोषन ट्रेकारनि सोमोन्दै,brx
About,brx
पोषन ट्रेकार एप,brx
"पोषन ट्रेकार' आ मोनसे जानबुं बिथा खालामनाय एप्लिकेसन जाय 1 मार्च 2021 आव हादरारी इ-गभर्नेन्स दिभिजन (एनइजिडि), माइगभनि गेजेरजों मोनसे गोनांथार खुंथाइ अस्त्रनि महराव भारत सरखारनि आइजो आरो खुदिया जौगानाय बिफाननि दारा जागायजेननाय जादोंमोन। पोषन ट्रेकारनि सिङाव टेक्न'ल'जिनि बाहायथि स्टान्टिं, वेस्टिं, खुदियाफोरनिआव खम लेरथाइनि सोलिबाय थानाय आरो निउट्रिसन सिबिथाय राननायनि जोबथा माइल संदाननायनि खारथाय सिनायथिनायनि थाखाय खालामनाय जागासिनो.",brx
पोषन ट्रेकारआ अंगनवारी मावफारियाफोरखौ बिसोरनि नाजानायफोरनि रिफिननायजों लोगोसे सिबिथायफोरनि आखा-फाखा राननायनि थाखाय मोनसे खामानि-हेफाजाब। बेयो पोषन अभियाननि सिङाव मोनसे गोनांथार आरो मुलाम्फायारि मिरुगोनां सिबिथाय राननाय एप्लिकेसन जाय बिजिरनायजों लोगोसे थार सम डाटाखौ बाराय होगोन.,brx
Services availed by,brx
Beneficiaries at Anaganwadi Center,brx
Morning Snacks,brx
Nutrition and,brx
 Health checkup,brx
माया,brx
पोषन ट्रेकार लोक्षोनफोर,brx
थार सम रेबगान्थि खालामनाय आरो सामलायनाय,brx
"पोषन ट्रेकार फोरमायनाय इसाराफोराव एडब्लिउसिफोर आरो मुलाम्फायारिफोरनि थार सम सामलायनाय आरो ट्रेकिंखौ जाफुंसार खालामो। बे गेजेरारी डाटा आर्किटेक्सारखौ बाहायनानै बानायनाय जादों जाय गुबुन बिफानफोर आरो हाबाफारिफोरनि डिजिटेल टेक्न'ल'जि खायदाफोरजों लोगोसेबो सारियै साजायनाय जायो। बेनि थांखिया अंगनवारी मिरु (एडब्लिउसि) नि खामानिफोर, अंगनवारी मावफारियाफोर (एडब्लिउडब्लिउफोर) नि सिबिथाय राननाय आरो गोरबोआव थानाय आइजोफोर, आहार जाहोग्रा बिमाफोर आरो खुदियाफोरनि थाखाय आबुं मुलाम्फायारी सामलायनायनि खामानिफोरनि 360-डिग्री नुथाय होनाय। राइजोआरी डेसबर्डआ मुलाम्फायारिफोरखौ होजानाय सिबिथायफोराव गोजोंगुन होनायाव हेफाजाब खालामो.",brx
सिबिथायफोर राननाय जाबाय,brx
"मोनसे बुथामनि थुनायाव जोबथा मुलाम्फायारीखौ सिबिथायफोर होनायखौ संदाननाय। न'नि रेसन ला (टिएइचआर) आरो गुदुं संजानाय आदार (एइचसिएम), खुदियाफोर आरो गोरबोआव थानाय आइजोफोरनि थाखाय टिका होनाय बादि सिबिथायफोर.",brx
जौगानाय जखा सुनाय,brx
"एडब्लिउडब्लिउफोरनि दारा गुबुन गुबुन बैसोनि हानजानि खुदियाफोरनि दानारि बिथायाव नोजोर लाखिनायखौ खालामनाय जायो। स्टान्टिं, वेस्टिं आरो खम लेरथाइनि सोलिबाय थानाय जेरै सावस्रि इसाराफोरखौ डब्लिउएइचअ'नि थाखोफोरनि बादियै जखा सुनाय जायो। सरासनस्रा नेमजों जौगानाय नोजोर लाखिनाया अंगनवारी मावफारियाफोरखौ खुदियाफोरखौ सोमोन्दोगोनां आरो समाव हेफाजाब होनायाव मदद खालामो.",brx
न' नायहैनाय सांग्रांफोर,brx
"पोषन ट्रेकारा अलखद गोनां जोबथा-माइल मुलाम्फायारिफोरनि थाखाय गावआरि सालायनाय सांग्रां सोमजि होयो। बे मुलाम्फायारिफोर आरो बिबान लागिरिफोरनि थार सम नुजाथिनायनि लिरथुमनानै राननाय खायदानि थि फोरमानलाइ आनजादबो थि खालामो। बे सामलायनाय खौरां खायदाया पोषन हाबाफारिखौ मोजाङै दावगानायाव मदद खालामो, जायजों दाजाबथायारि गोहोम सोरजिनाय आरो लिरथुमनाया जागोन.",brx
सोलोंनाय भिडिअ'फोर,brx
केंगारु मादार केयारनि हेफाजाबजों लोरबां गोदानै जोनोम जानाय खुदियाखौ माबोरै जोथोन लानो नांगौ,brx
थि आदार मोनजायै आरो थैनायखौ होबथानो थाखाय बेरामफोरखौ होबथानाय,brx
गथ'साफोर आरो देरफुनाय हिनजावसाफोरनिआव एनेमियाखौ होबथानाय,brx
जोनोम थियारी खालामनायफोर- फसंथानारी आरो न'आव जोनोम होनायनि थाखाय,brx
लोरबां गोदानै जोनोम जानाय खुदियानि जोथोन- जों साबेसे लोरबां खुदियाफोर खोमागासिनो दं?,brx
बेरामनि समाव आहार दौनाय,brx
गोरबो थानाय समाव थियारी- गोदान जोनोम मोननायनि जोथोन आरो नखर दानाय बिथांखिनि थाखाय,brx
जर'खायै आहार दौनायखौ रोखा खालामनाय,brx
गथ'साफोरनि जौगानायखौ बेसेन थि खालामनाय,brx
आइजोफोरनिआव एनेमिया होबथानाय,brx
होफादेरनाय आहार जाहोनाय- गुबुन गुबुन रोखोमनि खाजा,brx
लोरबां गोदानै जोनोम जानाय खुदियानि सिनायथि खालामनाय आरो जोथोन,brx
गोदानै जोनोम जानाय खुदियाफोरनि आहार दौनायखौ नोजोर खालामनाय,brx
एडब्लिउसिआव सुबुं समाज बिथा खालामनाय हाबाफारिफोर बिथांखिनाय आरो राहा खालामनाय,brx
नखर नायहैनाय बिथांखिगिरि बानायनाय एबा आथिखाल खालामनाय आरो नखर नायहैनायफोरखौ जागायजेननाय,brx
रोखा खालामो दि समजों लोगोसे होफादेरनाय आहार जाहोनाया साबसिन जायो,brx
होफादेरनाय आहार जाहोनायखौ सम मथै जागायनायखौ माबोरै रोखा खालामगोन,brx
सहायनो हायै गोख्रों थि आदार मोनजायैखौ सिनायथिनाय आरो होबथानाय,brx
बेरामि गोदानै जोनोम जानाय खुदियाखौ सिनायथिनाय आरो गथायनाय,brx
आहार दौनायाव जेंना गोनां बिमाफोरखौ हेफाजाब होनाय,brx
बे दानारि मेलआ मानो?,brx
सांग्रांथि,brx
गासै ,brx
सरासनस्रा ,brx
गोरबोआव थानाय आयजो ,brx
आहार जाहोग्रा बिमाफोर ,brx
उन्दै गथ'नि जोथोन ,brx
General,brx
Millets Recipe Book,brx
पिडिएफ डाउनलोड खालाम,brx
General Awareness about Home Visit Scheduler,brx
गथ'फोरनि जौगानाय सामलायनायनि बागै सरासनस्रा सांग्रांथि होनाय,brx
गथ'फोरनिआव बेराम होबथानायनि बागै सरासनस्रा सांग्रांथि होनाय,brx
गोरबोआव थानायनि थाखाय सरासनस्रा सांग्रांथि होनाय,brx
जखानि सायाव सरासनस्रा सांग्रांथि होनाय,brx
एनेमियानि सायाव सरासनस्रा सांग्रांथि होनाय,brx
एसएएम आरो एमएएम नि सायाव सरासनस्रा सांग्रांथि होनाय,brx
बिमा जोथोननि सायाव सरासनस्रा सांग्रांथि होनाय,brx
गथ'नि जोनोम जानायनि सायाव सरासनस्रा सांग्रांथि होनाय,brx
गोरबोआव थानाय आयजो,brx
गोरबोआव थानायाव एनेमिया होबथानायनि थाखाय सांग्रांथि होनाय,brx
आहार जाहोग्रा बिमाफोर,brx
गथ'फोरनि थाखाय आहार जाहोग्रा बिमानि थाखाय होफादेरनाय आहार जाहोनायनि थाखाय सांग्रांथि होनाय,brx
आहार जाहोग्रा बिमाफोरखौ सांग्रांथि होनाय,brx
Child Care,brx
"गथ'फोरनिआव थि आदार मोनजायैखौ होबथानायनि थाखाय जौनायखौ थाबथाहोनाय, खि-हासुदै बायदि ओंखारनाय मुवाफोरनि फारसे सांग्रांथि होनाय",brx
जौगानाय सामलायनाय बेसेन थिनाय फारिलाइफोर,brx
स्टान्टेड एसेसमेन्ट पेरामिटार्स,brx
वेस्टेड एसेसमेन्ट पेरामिटार्स,brx
आन्दारवेइथ एसेसमेन्ट पेरामिटार्स,brx
मेनुवेल्ज,brx
पशान ट्रेकार प्रसेस फ्ल,brx
फोसावनायफोर/फोरमायलाइफोर,brx
03 June,brx
स्मार्ट फनफोरनि बेसेननि बागै रोखा फोरमायनाय,brx
24 May,brx
पोषन ट्रेकारआव अंगनवारी सिबिथायफोर बिथांखिफोरनि डाटानि आपलोड खालामनाय,brx
01 March,brx
मबाइल एप्लिकेसननि थाखाय डाटा प्लेन,brx
02 February,brx
स्मार्ट फन आरो टेकनिकेल बेरेखा गैयै आनजादनि थियै फोरमायनायफोर,brx
पोषन अभियाननि सिङाव आइसिटि प्लेटफर्मआव फोरोंथाइ होनाय,brx
गोदान पोषन ट्रेकार एप- सिएससि-एसपिभि नोडल सुबुं,brx
13 January,brx
गोदान पोषन ट्रेकार एप,brx
जोनोम,brx
बेसिलास कालमेट गेरेन (बिसिजि),brx
अरेल पलिअ' भेकसिन (अपिभि)- 0 डोज ,brx
हेपाटाइटिस बि जोनोम डो़ज अपिभि-1 टि,brx
6 ,brx
सप्ताहफोर,brx
अपिभि-1,brx
पेन्टाभेलेन्ट-1,brx
रोटाभाइरास भेकसिन (आरभिभि)-1,brx
सांग्रांथि खालामजायै पलिअ' भेकसिननि खोन्दोआरी डोज (एफआइपिभि)-1,brx
निउमोकौकुल कनजुगट भेकसिन (पिसिभि)-1,brx
10 ,brx
अ'पिभि-2,brx
पेन्टाभेलेन्ट-2,brx
आरभिभि-2,brx
14 ,brx
अ'पिभि-3,brx
पेन्टाभेलेन्ट-3,brx
एफआइपिभि-2टि,brx
आरभिभि-3,brx
पिसिभि-2,brx
9 - 12 ,brx
दानफोर,brx
फिसा आइ सिङाव थानाय भेकसिन (एमसिभि)/ फिसा आइ आरो रुबेला (एमआर)-1,brx
जापानिस एनकेफेलाइटिस (जेइ)-1**,brx
पिसिभि-बुस्टार,brx
16 - 24 ,brx
फिसा आइ सिङाव थानाय भेकसिन (एमसिभि)/ एमआर-2,brx
जेइ-2**,brx
दिपथेरिया,brx
पारटुसिस आरो टिटेनास (डिपिटि)- बुस्टार-1,brx
अपिभि-बुस्टार,brx
5 - 6 ,brx
बोसोरफोर,brx
डिपिटि-बुस्टार-2,brx
"टिडि1, 2 एबा टिडि बुस्टार***",brx
India,brx
रायजो सायख’,brx
जिला सायख’,brx
Last Updated On : 20/04/2023,brx
General Information,brx
*State level aggregated data as received from States,brx
Owned Building,brx
AWC Infrastructure,brx
Functional Toilet,brx
Drinking Water Source,brx
Anganwadi Center Details,brx
Report for Mar 2023,brx
Eligible Beneficiaries,brx
As on 31st Mar 2023,brx
Aspirational Districts & North East Region,brx
Adolescent Girls,brx
Total,brx
Aadhaar Verified,brx
Take Home Ration (THR),brx
Given For Atleast 21 Days,brx
Key Services,brx
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,brx
Mission Utkarsh ,brx
Dashboard,brx
नोंथांनि एकाउन्टआव लग-इन खालाम,brx
बाहायग्रानि मुं ,brx
पासवार्ड ,brx
मोनसे गोदान टिकेट बेखेव,brx
टिकेट थाथाय नाय,brx
मोनसे गोदान टिकेट सोरजि,brx
मोनसे गोदान टिकेट सोरजिनो थाखाय अननानै गाहायनि थख'लाइ आबुं खालाम। अंगनवारी मावफारियाफोरा नोंथांनिसिम 48 घन्टानि गेजेराव सहैगोन।.,brx
मुलाम्फायारि थाखो ,brx
मुलाम्फा मोनग्रानि थाखोखौ सायख',brx
गथ'सा (0 - 6 दान),brx
गथ'सा (6 दान - 3 बोसोर),brx
गथ'सा (3 - 6 बोसोर),brx
निजों सोमोन्दो गोनां सोंथि ,brx
सोमोन्दो थानाय सोंथिखौ सायख',brx
एडब्लिउडब्लिउ/एडब्लिउसि,brx
नोजोरगिरि,brx
मदद आयदा ,brx
Select a Help Topic,brx
फोरमायनाय ,brx
मोनसे खेंफोरनायखौ सायख',brx
मुं ,brx
जानबुं अनजिमा ,brx
ईमेल,brx
Having difficulty raising ticket?,brx
Poshan Helpline,brx
support-poshantrackr@gov.in,brx
जिल्लाखौ नायनानै,brx
रायजो ,brx
जिल्ला ,brx
मावथांखि ,brx
मावथांखिखौ सायख',brx
खोन्दो ,brx
खोन्दोखौ सायख',brx
अंगनवादी मिरु ,brx
अंगनवादी मिरुखौ सायख',brx
टिकेट बानाय,brx
रिसेट,brx
इन्टारनेटनि बादैबो एपआ गेवो?,brx
"नङा, एपआ मोनसे थि इन्टारनेट सरजाबायनि बादै खामानि मावा।",brx
पशान ट्रैकार एपखौनि थांखिजानाय बाहायगिरिफोरा सोर?,brx
"पशान ट्रैकार एपखौआ आंगनबादि मावग्राफोरनि थाखाय, आंगनबादि मिरुफोरा फर्माव दानमोनग्राफोरनि खारिखौ थिसननांगोन। बेखौ गुबैयै सरासनस्रा सुबुंफोरनि थाखाय थिरांखालामनाय जायाखै",brx
पशान ट्रैकार एपखौ माबोरै जागायनो?,brx
"गासैबो आंगनबादि मावथिफोरखौ गावसोरनि जानबुं अन्जिमाखौ थिस'ननो थाखाय खावलायनाय जाबाय। मोनसे OTP अनजिमाया नोंथांमोननि थिस'नजानाय जानबुं अन्जिमायाव थांगोन, जायखौ MPIN बानायनायाव गोनांथि जागोन।",brx
MPIN आ मा?,brx
MPIN आ मोनसे ब्रै अनजिमानि पासकड जायखौ सासे आंगनबादि मावथिआ पशान ट्रैकार एपआव थिस'ननाय समाव बानायो।,brx
MPIN खौ माबोरै बानायो?,brx
MPIN खौ सासे आंगनबादि मावथिआ गावनि जानबुं अन्जिमायाव OTP खावलायनानै बानायनो हायो। जुदि बिथांनि जानबुं अनजिमाया फारिलाइयाव दंखायोब्ला बिथाङा गावनि थिस'नजाखानाय जानबुं अन्जिमायाव मोनसे ब्रै अनजिमानि OTP खौ मोनगोन। OTP थुनानै सासे आंगनबादि मावथिआ MPIN खौ बानायनो हागोन।,brx
MPIN खौ माब्ला आरो माबोरै बाहायनो नांगौ?,brx
पशान ट्रैकार एपआव जेब्ला आंगनबादि मावथिआ लग इन खालामो अब्ला MPIN खौ थुनो नांगोन। बे MPIN आ पशान ट्रैकार एपखौ बाहायनाय समाव आरो दान बिलाइयाव खौरां थिस'ननाय समाव पासकड हिसाबै खामानि मावगोन।,brx
MPIN खौ माबोरै बानायफिननो?,brx
MPINखौ जायखिजाया AWW/AWC बाहायग्रानि गेजेरजों गोरलैयै साजायफिन्नो हायो। बेनि थाखाय नोंथाङा फरगेट MPIN आव थुनानै थिस'नजाखानाय जानबुं अन्जिमाखौ थुनो नांगोन। नोंथाङा थिस'नजाखानाय जानबुं अन्जिमायाव मोनसे OTP मोनगोन आरो बिब्दिनो MPIN खौ नोंथाङा गोरलैयै साजायफिननो हागोन।,brx
पशान ट्रैकार एपआव मोनबेसे रावफोरखौ मोननो हागोन?,brx
पशान ट्रैकार एपआव मोन 22 रावफोरखौ मोननो हागोन।,brx
"गुबुन-गुबुन रावफोर जायखौ जों मोन्नो हागोन, बेफोर जादों:",brx
इंराजि,brx
हिन्दि,brx
गुजराति,brx
पान्जाबि,brx
माराठी,brx
बांला,brx
कानाडा,brx
तामिल,brx
तेलेगु,brx
मालायालम,brx
अरिया,brx
असमिया,brx
Nepali,brx
Dogri,brx
Konkani,brx
Sindhi,brx
Bodo,brx
Maithili,brx
Manipuri,brx
Santhali,brx
Urdu,brx
Kashmiri,brx
ए.दाब्लिउ.सि. एबा ए.दाब्लिउ.दाब्लिउ आ जेब्ला फर्मखौ आबुं खालामो अब्ला मोनबेसे रावजों खारिथिखौ सोनो हागोन?,brx
ए.दाब्लिउ.दाब्लिउ आ फर्मखौ खालि इंराजि रावजोंल' आबुं खालामनो हागोन।,brx
पशान ट्रैकार एपआव मोनबेसे रोखोमनि फर्म दङ?,brx
बेयाव मोनस्नि गुबुन-गुबुन रोखोमनि दान फर्म दङ: ,brx
आहार दौग्रा बिमा,brx
गोरबोआव थानाय आइजो,brx
0-3 दाननि गथ',brx
6 दाननिफ्राय 3 बोसोरसिमनि गथ',brx
3-6 बोसोरनि गथ',brx
लाइमोन हिनजावसा (11बोसोर-19बोसोर),brx
ए.दाब्लिउ.दाब्लिउ फर्माव मा मा खारिखौ सोस'ननो नांगौ?,brx
"ए.दाब्लिउ.दाब्लिउ फोरा आंगनबादि मिरुजों लोब्बा थानाय गुदि गोनां खाबुफोरनि सोमोन्दै थिस'ननो नांगोन।जेरै- दाथाइ, गुदि हालोद, खाबुफोर, साखोन- सिखोन, लोंग्रा दै बायदि- बायदि।",brx
जुदि ए.दाब्लिउ.दाब्लिउ फोरा गावसोरनि जानबुं अन्जिमाजों रिजेसतार खालामनायाव जेंना जायोब्ला माबादि साइ आप खालामगोन?,brx
